0;0;0;0;x;
20000;56;23;232;x;
20001;237;205;159;x;
20002;196;240;38;x;
20003;214;158;125;x;
20004;40;71;164;x;
20005;242;170;155;x;
20006;184;214;98;x;
20007;47;41;249;x;
20008;242;84;96;x;
20009;14;84;151;x;
20010;85;121;158;x;
20011;135;98;117;x;
20012;71;254;28;x;
20013;230;139;147;x;
20014;244;153;218;x;
20015;173;7;241;x;
20016;43;4;216;x;
20017;113;15;143;x;
20018;63;247;22;x;
20019;189;218;109;x;
20020;237;40;148;x;
20021;243;160;139;x;
20022;49;81;82;x;
20023;39;153;233;x;
20024;48;41;80;x;
20025;3;254;135;x;
20026;18;104;142;x;
20027;168;6;101;x;
20028;229;199;12;x;
20029;135;233;131;x;
20030;124;252;202;x;
20031;76;223;225;x;
20032;79;193;200;x;
20033;181;33;127;x;
20034;90;206;6;x;
20035;115;230;93;x;
20036;255;217;132;x;
20037;17;102;123;x;
20038;229;156;66;x;
20039;202;217;217;x;
20040;215;206;64;x;
20041;114;120;119;x;
20042;167;39;126;x;
20043;79;122;85;x;
20044;9;95;252;x;
20045;254;23;115;x;
20046;121;47;186;x;
20047;79;135;209;x;
20048;22;78;184;x;
20049;42;3;111;x;
20050;133;116;246;x;
20051;104;194;77;x;
20052;208;90;116;x;
20053;187;252;107;x;
20054;69;183;50;x;
20055;136;233;201;x;
20056;89;67;48;x;
20057;201;194;103;x;
20058;131;182;110;x;
20059;237;190;69;x;
20060;34;200;236;x;
20061;185;21;99;x;
20062;89;50;170;x;
20063;36;255;193;x;
20064;238;171;168;x;
20065;63;181;95;x;
20066;47;235;230;x;
20067;12;110;61;x;
20068;206;171;100;x;
20069;99;98;91;x;
20070;193;162;34;x;
20071;209;201;185;x;
20072;36;136;32;x;
20073;121;220;87;x;
20074;24;21;94;x;
20075;242;210;53;x;
20076;162;1;220;x;
20077;40;227;83;x;
20078;141;5;154;x;
20079;61;71;177;x;
20080;72;216;152;x;
20081;102;55;79;x;
20082;202;50;214;x;
20083;206;234;45;x;
20084;106;204;84;x;
20085;119;152;75;x;
20086;201;93;18;x;
20087;21;121;169;x;
20088;169;157;16;x;
20089;242;198;71;x;
20090;212;68;78;x;
20091;206;182;37;x;
20092;247;10;204;x;
20093;189;129;67;x;
20094;132;168;138;x;
20095;8;95;161;x;
20096;148;213;136;x;
20097;13;137;63;x;
20098;196;73;198;x;
20099;32;54;29;x;
20100;20;189;68;x;
20101;104;158;59;x;
20102;204;232;2;x;
20103;195;249;153;x;
20104;88;130;0;x;
20105;164;128;55;x;
20106;40;67;62;x;
20107;241;106;21;x;
20108;145;227;188;x;
20109;230;239;51;x;
20110;176;27;122;x;
20111;246;71;145;x;
20112;66;162;120;x;
20113;165;171;47;x;
20114;142;48;182;x;
20115;112;82;13;x;
20116;60;126;52;x;
20117;166;116;43;x;
20118;60;66;242;x;
20119;77;73;137;x;
20120;161;54;240;x;
20121;255;10;39;x;
20122;132;18;46;x;
20123;202;238;5;x;
20124;226;140;172;x;
20125;21;45;35;x;
20126;127;94;106;x;
20127;118;255;129;x;
20128;194;63;104;x;
20129;158;157;31;x;
20130;151;231;166;x;
20131;47;61;253;x;
20132;82;15;36;x;
20133;161;26;27;x;
20134;135;109;226;x;
20135;33;105;121;x;
20136;243;187;224;x;
20137;114;100;23;x;
20138;87;177;30;x;
20139;203;65;245;x;
20140;89;5;156;x;
20141;184;59;19;x;
20142;98;113;90;x;
